artist_name,track_name,release_date,genre,lyrics
Michael Jackson,Chicago,2014,soul,"Ah, I met her on my way to Chicago Where she was all alone And so was I, so I asked her for her name She smiled and looked at me I was surprised to see That a woman like that was really into me [Chorus] She said she didn't have no man Raised the kids the very best she can (She was lovin' me) She told me she was all alone Said at home, she didn't have no phone (She was wantin' me) She said just to give her a page Fifty-nine was the code she gave (She was lovin' me) She'd lied to you, lied to me 'Cause she was lovin' me, lovin' me, yeah [Verse 2] I never woulda thought she was livin' like that Her words seemed so sincere When I held her near, she would tell me how she feels It felt so real to me, this girl, she had to be An angel sent from Heaven just for me [Chorus] She said she didn’t have no man (Ah, ah) Raised the kids the very best she can (Look, she's lovin' me) She told me she was all alone Said at home, she didn't have no phone (She was lovin' me) She said just to give her a page Fifty-nine was the code she gave She'd lied to you, lied to me 'Cause she was lovin' me, lovin' me, yeah (Look who's lovin' me) She tried to live a double life Lovin' me while she was still your wife (She was wantin' me) She thought that lovin' me was cool With you at work and the kids at school (She was lovin' me) She said like it would never end Tried to keep me any way she can (She was wantin' me) She'd lied to you, lied to me 'Cause she got a family, family, yeah [Post-Chorus] Woah-oh-oh, no Alright Oh, I'm in love, love [Verse 3] I didn't know she was already spoken for 'Cause I'm not that kind of man Swear that I would've never looked her way Now I feel so much shame And all things have to change You should know that I'm holdin' her to blame [Chorus] She said she didn’t have no man Raised the kids the very best she can (Holdin' her to blame) She told me she was all alone Said at home, she didn't have no phone (Holdin' her to blame) She said just to give her a page Fifty-nine was the code she gave (Holdin' her to blame) She'd lied to you, lied to me 'Cause she was lovin' me, lovin' me, yeah (Holdin' her to blame) She tried to live a double life Loving me while she was still your wife (Holdin' her to blame) She thought that loving me was cool With you at work and the kids at school (Holdin' her to blame) She said like it would never end Tried to keep me any way she can (Holdin' her to blame) She'd lied to you, lied to me 'Cause she got a family, family, yeah [Outro] She said she didn’t have no man (Ah, ah) Raised the kids the very best she can (Look, she's lovin' me) She told me she was all alone Said at home, she didn't have no phone (She was lovin' me) She said just to give her a page Fifty-nine was the code she gave (She's with me) She'd lied to you, lied to me 'Cause she was lovin' me, lovin' me, yeah (Look who's lovin' me) She tried to live a double life Lovin' me while she was still your wife (She was wantin' me) She thought that lovin' me was cool With you at work and the kids at school (She was lovin' me) She said like it would never end Tried to keep me any way she can (She was wantin' me) She'd lied to you, lied to me 'Cause she got a family, family, yeah"
Frank Ocean,Pyramids,2012,soul,"[Chorus] Oh, oh, oh, oh Set the cheetahs on the loose Oh, oh, oh, oh There's a thief out on the move Oh, oh, oh, oh Underneath our legion's view Oh, oh, oh, oh They have taken Cleopatra [Bridge] Run, run, run, come back for my glory (Cleopatra, Cleopatra) Bring her back to me (Cleopatra, Cle-o-patra, Cleopatra) Run, run, run, the crown of our pharaoh (Cleopatra, Cleopatra) The throne of our queen is empty (Cle-o-patra, Cleopatra) [Verse 1] We'll run to the future, shining like diamonds In a rocky world, rocky-ky world Our skin like bronze and our hair like cashmere As we march to the rhythm on the palace floor, ah-ooh Chandeliers inside the pyramids tremble from the force Cymbals crash inside the pyramids, voices fill up the halls [Chorus] Oh, oh, oh, ooh Set the cheetahs on the loose Aye, ah, aye There's a thief out on the move Oh, oh, oh, ooh Underneath our legion's view Aye, ah, aye They have taken Cleopatra, Cleopatra [Verse 2] The jewel of Africa, jewel What good is a jewel that ain't still precious? How could you run off on me? How could you run off on us? You feel like God inside that gold I found you laying down with Samson and his full head of hair I found my black queen, Cleopatra, bad dreams, Cleopatra [Outro] Oh, oh, woah Remove her, send the cheetahs to the tomb Oh, oh, woah Our war is over, our queen has met her doom Oh, no more She lives no more, a serpent's in her room Oh, no more He has killed Cleopatra, Cleopatra [Part II] [Segue] Big sun coming strong through the motel blinds Wake up to your girl For now, let's call her Cleopatra, Cleopatra I'll watch you fix your hair Then put your panties on in the mirror, Cleopatra Then your lipstick, Cleopatra Then your six-inch heels, catch her She's headed to the pyramid [Refrain] She's working at the pyramid tonight Working at the pyramid, ayy Working at the pyramid tonight, oh yeah Working at the pyramid, oh-ah Working at the pyramid tonight, yeah Working at the pyramid, oh Working at the pyramid tonight Working at the pyramid Working at the pyramid tonight [Verse 1] Pimpin' in my convos Bubbles in my champagne, let it be some jazz playing Top floor motel suite, twisting my cigars Floor model TV with the VCR Got rubies in my damn chain Whip ain't got no gas tank, but it still got woodgrain Got your girl working for me Hit the strip and my bill's paid, that keep my bills paid Hit the strip and my bill's paid, keep a nigga bills paid [Refrain] She's working at the pyramid tonight Working at the pyramid, ayy Working at the pyramid tonight, ayy Working at the pyramid, oh-ah Working at the pyramid tonight, yeah Working at the pyramid, ooh Working at the pyramid tonight Working at the pyramid [Verse 2] You showed up after work, I'm bathing your body Touch you in places only I know You're wet and you're warm just like our bathwater Can we make love before you go? The way you say my name makes me feel like I'm that nigga But I'm still unemployed You could say it's big, but you take it Ride cowgirl But your love ain't free no more, baby But your love ain't free no more [Refrain] She's working at the pyramid tonight Working at the pyramid, ayy Working at the pyramid tonight, oh yeah Working at the pyramid, that's right Working at the pyramid tonight, yeah Working at the pyramid, ooh Working at the pyramid tonight Working at the pyramid Working at the pyramid tonight [Guitar Solo: John Mayer & Frank Ocean] Air guitar Oh, oh"
Estelle,American Boy,2008,soul,"[Intro: Kanye West & Estelle] This a number one champion sound (Yeah) Yeah, Estelle, we 'bout to get down (Get down) Who the hottest in the world right now? (Uh) Just touched down in London town (Uh) Bet they give me a pound (Uh) Tell 'em put the money in my hand right now (Yes) Tell the promoter we need more seats We just sold out all the floor seats [Chorus: Estelle] Take me on a trip, I'd like to go some day Take me to New York, I'd love to see LA I really want to come kick it with you You'll be my American boy [Verse 1: Estelle] He said, ""Hey, sister, it's really, really nice to meet ya"" I just met this 5-foot-7 guy who's just my type Like the way he's speakin', his confidence is peakin' Don't like his baggy jeans but I might like what's underneath them And, no, I ain't been to MIA I heard that Cali never rains and New York's wide awake First let's see the West End, I'll show you to my bredrin I'm likin' this American boy, American boy [Chorus: Estelle] Take me on a trip, I'd like to go some day Take me to New York, I'd love to see LA I really want to come kick it with you You'll be my American boy, American boy [Post-Chorus] La, la la, la la, eya La, la la, la la, eya La, la la, la la, eya Will you be my American boy? American boy [Verse 2: Estelle] Can we get away this weekend? Take me to Broadway Let's go shopping, maybe then we'll go to a café Let's go on the subway, take me to your hood I never been to Brooklyn and I'd like to see what's good Dressed in all your fancy clothes Sneakers lookin' fresh to death, I'm lovin' those Shell Toes Walkin' that walk, talk that slick talk I'm likin' this American boy, American boy [Chorus: Estelle] Take me on a trip, I'd like to go some day Take me to New York, I'd love to see LA I really want to come kick it with you You'll be my American boy Tell 'em wah gwan, blud! [Verse 3: Kanye West with Estelle] Who killin' them in the UK? Everybody gonna say, ""You, K"" Reluctantly, 'cause most of this press don't fuck with me Estelle once said to me, ""Cool down, down Don't act a fool now, now."" I always act a fool oww, oww Ain't nothing new now, now He crazy, I know what you thinkin' Ribena, I know what you're drinkin' Rap singer, chain blinger Holler at the next chick soon as you're blinkin' What's your persona about this Americana rhymer? Am I shallow 'cause all my clothes designer? Uh Dressed smart like a London bloke (Yeah) Before he speak his suit bespoke (Woop) And you thought he was cute before Look at this pea coat, tell me he's broke (Woo) And I know you ain't into all that I heard your lyrics, I feel your spirit But I still talk that ca-a-ash 'Cause a lotta wags wanna hear it And I'm feelin' like Mike at his baddest Like The Pips at their gladdest And I know they love it So to hell with all that rubbish [Bridge: Estelle] Would you be my love, my love? Would you be mine? Would you be my love, my love? Would you be mine? Could you be my love, my love? (Ooh) Would you be my American boy? American boy [Chorus: Estelle] Take me on a trip, I'd like to go some day (Ooh, someday) Take me to Chicago, San Francisco Bay (I wanna see the Bay) I really want to (You) come kick it with you (Ooh-ooh-ooh) You'll be my American boy, American boy (Be my American boy) Take me on a trip I'd like to go some day (I'd like to go some day) Take me to New York, I'd love to see LA (See LA) I really want to come kick it with you You'll be my American boy, American boy [Post-Chorus] La, la la, la la, eya (La, la) La, la la, la la, eya (Ooh, ooh) La, la la, la la, eya Will you be my American boy?"
Frank Ocean,Godspeed,2016,soul,"I will always love you How I do Let go of a prayer for you Just a sweet word The table is prepared for you [Interlude: Frank Ocean & Yung Lean] Ooh (Ball so hard, boys, boys flex, ball so, ball so hard, boys, boys flex) Ooh (Ball so hard, boys, boys flex, ball so, ball so hard, boys, boys flex) Ooh (Ball so hard, boys, boys flex, ball so, ball so hard, boys, boys flex) [Verse 2: Frank Ocean] Wishing you godspeed, glory There will be mountains you won't move Still, I'll always be there for you How I do I let go of my claim on you It's a free world You'll look down on where you came from sometimes But you'll have this place to call home, always [Bridge: Frank Ocean & Kim Burrell] This love will keep us through blinding of the eyes (Godspeed, glory, oh) Silence in the ears, darkness of the mind (Until it's time) This love will keep through blinding of the eyes (Oh) Silence in the ears, darkness of the mind (Oh) This love will keep us through blinding of the eyes (Oh, it's 'til it's time) Silence in the ears, darkness of the mind (We die) [Outro: Kim Burrell] Oh, oh I'll always love you Until the time we die Oh, oh"
Sade,Like a Tattoo,1992,soul,"He told me sweet lies of sweet loves Heavy with the burden of the truth And he spoke of his dreams Broken by the burden Broken by the burden of his youth [Verse 2] ""Fourteen years,"" he said ""I couldn't look into the sun She saw him laying at the end of my gun"" Hungry for life And thirsty for the distant river [Verse 3] I remember his hands And the way the mountains looked The light shot diamonds from his eyes Hungry for life And thirsty for the distant river [Verse 4] Like the scar of age Written all over my face The war is still raging inside of me I still feel the chill As I reveal my shame to you [Outro] I wear it like a tattoo I wear it like a tattoo I wear it like a tattoo"
Commodores,Easy,1977,soul,"I know it sounds funny, but I just can't stand the pain Girl, I'm leaving you tomorrow Seems to me girl, you know I've done all I can You see, I begged, stole and I borrowed, yeah, ooh [Chorus] That's why I'm easy I'm easy like Sunday morning That's why I'm easy I'm easy like Sunday morning [Verse 2] Why in the world would anybody put chains on me, yeah? I've paid my dues to make it Everybody wants me to be what they want me to be I'm not happy when I try to fake it, no, ooh [Chorus] That's why I'm easy, yeah I'm easy like Sunday morning That's why I'm easy I'm easy like Sunday morning [Bridge] I wanna be high, so high I wanna be free to know the things I do are right I wanna be free Just me, oh babe Ooh [Guitar Solo] [Chorus] That's why I'm easy I'm easy like Sunday morning, yeah That's why I'm easy I'm easy like Sunday morning, woah 'Cause I'm easy, whoo Easy like Sunday morning, yeah 'Cause I'm easy Easy like Sunday morning, woah 'Cause I'm easy"
Adele,Easy On Me,2021,soul,"There ain't no gold in this river That I've been washin' my hands in forever I know there is hope in these waters But I can't bring myself to swim When I am drowning in this silence Baby, let me in [Chorus] Go easy on me, baby I was still a child Didn't get the chance to Feel the world around me I had no time to choose what I chose to do So go easy on me [Verse 2] There ain't no room for things to change When we are both so deeply stuck in our ways You can't deny how hard I've tried I changed who I was to put you both first But now I give up [Chorus] Go easy on mе, baby I was still a child Didn't get the chance to Feel thе world around me Had no time to choose what I chose to do So go easy on me [Bridge] I had good intentions And the highest hopes But I know right now It probably doesn't even show [Chorus] Go easy on me, baby I was still a child I didn't get the chance to Feel the world around me I had no time to choose what I chose to do So go easy on me"
Frank Ocean,Super Rich Kids,2012,soul,"Too many bottles of this wine we can't pronounce Too many bowls of that green, no Lucky Charms The maids come around too much Parents ain't around enough Too many joy rides in daddy's Jaguar Too many white lies and white lines Super rich kids with nothin' but loose ends Super rich kids with nothin' but fake friends [Verse 1: Frank Ocean] Start my day up on the roof There's nothing like this type of view Point the clicker at the tube I prefer expensive news New car, new girl, new ice, new glass New watch, good times, babe, it's good times, yeah She wash my back three times a day This shower head feels so amazin' We'll both be high, the help don't stare They just walk by, they must don't care A million one, a million two A hundred more will never do [Chorus: Frank Ocean] Too many bottles of this wine we can't pronounce Too many bowls of that green, no Lucky Charms The maids come around too much Parents ain't around enough Too many joy rides in daddy's Jaguar Too many white lies and white lines Super rich kids with nothin' but loose ends Super rich kids with nothin' but fake friends [Post-Chorus: Frank Ocean] Real love I'm searchin' for a real love Oh, real love I'm searchin' for a real love Oh, real love [Verse 2: Earl Sweatshirt] Alright, close your eyes for what you can't imagine We are the Xanny-gnashin', Caddy-smashin' bratty ass He mad, he snatched his daddy's Jag and used the shit for batting practice Adamant and he thrashin' Purchasing crappy grams with half the hand of cash you handed Panic and patch me up Pappy done latch-keyed us Toyin' with Raggy Anns, and mammy done had enough Brash as fuck, breachin' all these aqueducts Don't believe us, treat us like we can't erupt, yeah [Verse 3: Frank Ocean] We end our day up on the roof I say I'll jump, I never do But when I'm drunk, I act a fool Talkin' 'bout, do they sew wings on tailored suits? I'm on that ledge, she grabs my arm She slaps my head, it's good times, yeah Sleeve rips off, I slip, I fall The market's down like sixty stories And some don't end the way they should My silver spoon has fed me good A million one, a million cash Close my eyes and feel the crash [Chorus: Frank Ocean] Too many bottles of this wine we can't pronounce Too many bowls of that green, no Lucky Charms (Ah) The maids come around too much Parents ain't around enough (Uh-uh, uh) Too many joy rides in daddy's Jaguar Too many white lies and white lines Super rich kids with nothin' but loose ends Super rich kids with nothin' but fake friends [Post-Chorus: Frank Ocean] Real love (Ain't that somethin' rare?) I'm searchin' for a real love (Talkin' 'bout real love) Uh-oh, uh-oh (uh-oh) Real love, real love, yeah Real love (Real love) I'm searchin' for a real love Talkin' 'bout a real love (Oh, ooh, ooh) [Outro] A fantastic product— Killing—"
Fugees,Killing Me Softly With His Song,1996,soul,"Strumming my pain with his fingers Singing my life with his words Killing me softly with his song Killing me softly with his song Telling my whole life with his words Killing me softly with his song [Ad-libs: Wyclef Jean & Lauryn Hill] (Ah!) Yooo! (Yeah! Yeah!) This is Wyclef, Refugee Camp (L-Boogie up in here) Pra'zrel, (Pra'zrel up in here! Ha! Ha!) Lil' Base sits up there on the base (Refugees up in here) While I'm on this... I got my girl L (Ah, ah) One time (One time), one time, (One time) Ayo, L, you know you got the lyrics [Verse 1: Lauryn Hill] I heard he sang a good song I heard he had a style And so I came to see him And listen for a while And there he was This young boy, stranger to my eyes [Chorus: Lauryn Hill & Wyclef Jean] Strumming my pain with his fingers (One time, one time) Singing my life with his words (Two times, two times) Killing me softly with this song Killing me softly with his song Telling my whole life with his words Killing me softly with his song [Verse 2: Lauryn Hill] I felt all flushed with fever Embarrassed by the crowd I felt he found my letters Then read each one out loud I prayed that he would finish But he just kept right on [Chorus: Lauryn Hill & Wyclef Jean] Strumming my pain with his fingers (One time, one time) Singing my life with his words (Two times, two times) Killing me softly with his song Killing me softly with his song Telling my whole life with his words Killing me softly with his song [Interlude: Wyclef Jean] Yo, L-Boog, take me to the bridge [Bridge: Lauryn Hill] Woah Woah-oah-ah-ah-ah uh, uh La-la-la, la, la, la Woah, la Woah, la (Ha, ha, ha, ha) Laaaa [Chorus: Lauryn Hill] Strumming my pain with his fingers (Yes, he was singing) Yes he was singing my life with his words Killing me softly with his song Killing me softly with his song Telling my whole life with his words Killing me softly with his song Strumming my pain, yeah (Strumming my pain) [Outro: Wyclef Jean & Lauryn Hill] Yo, put your hands together for L-Boogie from the Refugee Camp (Yeah, yeah) (Singing my life) Up in here, you know how we do, L-Boogie up in here Wyclef, Pra'zrel, said L-Boogie up in here Wyclef up in here My man Lil' Base (Pra'zrel up in here) Jerry one time (T Rocks up in here, we got Warren up in here) This is how we— (Warren up, up in here, Outsiders up here) Refugee Camp, Refugee Camp (We got Fallon up in here, Mulaney, Mulaney's up in here, we got Val' up in here) [Skit] Everybody got a breaking point, kid, and they'll rat on you The family niggas'll rat on you That's why we gotta be prepared to take out whoever we need to (Man, motherfucker, I told you I was gonna get you next)"
Frank Ocean,Self Control,2016,soul,"Poolside convo about your summer last night (Ooh, yeah) About your summer last night Ain't give you no play, mm Could I make you shive last night? Could I make you shy on the last night? (Last night) Could we make it in? Do we have time? [Verse 1: Frank Ocean] I'll be the boyfriend in your wet dreams tonight Noses on a rail, little virgin wears the white You cut your hair, but you used to live a blonded life Wish I was there, wish we'd grown up on the same advice And our time was right [Chorus: Frank Ocean] Keep a place for me, for me I'll sleep between y'all, it's nothing It's nothing, it's nothing Keep a place for me, for me [Verse 2: Frank Ocean] Now and then, you miss it, sounds make you cry Some nights, you dance with tears in your eyes I came to visit, 'cause you see me like a UFO That's like never, 'cause I made you use your self-control And you made me lose my self-control, my self-control [Chorus: Austin Feinstein & Frank Ocean, Austin Feinstein] Keep a place for me, for me I'll sleep between y'all, it's nothing Keep a place for me It's nothing, it's nothing It's nothing, it's nothing [Bridge: Frank Ocean] Sometimes, you'll miss it And the sound will make you cry And some nights, you're dancing With tears in your eyes [Outro: Frank Ocean] I, I, I know you gotta leave, leave, leave Take down some summertime Give up, just tonight, 'night, 'night I, I, I know you got someone comin' You're spittin' game, know you got it I, I, I know you gotta leave, leave, leave Take down some summertime Give up, just tonight, 'night, 'night I, I, I know you got someone comin' You're spittin' game, know you got it (Yeah) I, I, I know you gotta leave, leave, leave Take down some summertime Give up, just tonight, 'night, 'night I, I, I know you got someone comin' You're spittin' game, know you got it"
Ravyn Lenae,Love Me Not (feat. Rex Orange County),2024,soul,"See, right now, I need you, I'll meet you somewhere now You up now, I see you, I get you, take care now Slow down, be cool, I miss you, come here now It's yours now, keep it, I'll hold out until now I need you right now, once I leave you I'm strung out If I get you, I'm slowly breaking down [Chorus: Ravyn Lenae] And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here [Post-Chorus: Ravyn Lenae] He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go [Verse 2: Rex Orange County, Rex Orange County & Ravyn Lenae] Well, it's safe to say now You can tell I miss you the most I'll step away now It'll make it harder to know Whether this is right or Whether we should do this at all I don't know, either way All I know is that we've been movin' wrong There's a lot in our minds We been actin' kinda crazy We know how to push each other 'til we go insane So, we probably shouldn't do this We already went through this But I know if I'm not with you Then I might miss you, yeah, yeah [Chorus: Ravyn Lenae & Rex Orange County, Ravyn Lenae] And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking we could never be a pair Oh, no, I don't need you, but I miss you, come here And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here [Post-Chorus: Ravyn Lenae] He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go [Bridge: Ravyn Lenae] You're gonna say that you're sorry at the end of the night Wake up in the morning, everything's alright At the end of the story, you're holdin' me tight I don't need to worry, am I out of my mind? [Chorus: Ravyn Lenae] And, oh, it's hard to see you, but I wish you were right here (I'm losing my mind) Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here"
Adele,When We Were Young,2015,soul,"Everybody loves the things you do From the way you talk to the way you move Everybody here is watching you 'Cause you feel like home, you're like a dream come true But, if by chance, you're here alone Can I have a moment before I go? 'Cause I've been by myself all night long Hoping you're someone I used to know [Pre-Chorus] You look like a movie, you sound like a song My God, this reminds me of when we were young [Chorus] Let me photograph you in this light in case it is the last time That we might be exactly like we were before we realised We were sad of getting old, it made us restless It was just like a movie, it was just like a song [Verse 2] I was so scared to face my fears Nobody told me that you'd be here And I swear you'd moved overseas That's what you said when you left me [Pre-Chorus] You still look like a movie, you still sound like a song My God, this reminds me of when we were young [Chorus] Let me photograph you in this light in case it is the last time That we might be exactly like we were before we realised We were sad of getting old, it made us restless It was just like a movie, it was just like a song [Post-Chorus] (When we were young) (When we were young) (When we were young) (When we were young) [Bridge] It's hard to admit that (When we were young) Everything just takes me back (When we were young) To when you were there (When we were young) To when you were there And a part of me keeps holding on (When we were young) Just in case it hasn't gone (When we were young) I guess I still care (When we were young) Do you still care? [Break] It was just like a movie, it was just like a song My God, this reminds me of when we were young (When we were young) (When we were young) (When we were young) (When we were young) [Chorus] Let me photograph you in this light in case it is the last time (When we were young, when we were young) That we might be exactly like we were before we realised (When we were young, when we were young) We were sad of getting old, it made us restless (When we were young, when we were young) Oh, I'm so mad I'm getting old, it makes me reckless (When we were young, when we were young) It was just like a movie, it was just like a song When we were young"
Paloma Faith,Only Love Can Hurt Like This,2014,soul,"Simple and extremely moving, Paloma really hits those high notes.[Intro] Ooh-ooh-ooh, ooh Ooh-ooh-ooh [Verse 1] I tell myself you don't mean a thing And what we got got no hold on me But when you're not there, I just crumble I tell myself I don't care that much But I feel like I die 'till I feel your touch [Chorus] Only love, only love can hurt like this Only love can hurt like this Must've been a deadly kiss Only love can hurt like this [Verse 2] Say I wouldn't care if you walked away (Oh) But every time you're there I'm begging you to stay When you come close (When you come close), I just tremble And every time, every time you go (Go-oh) It's like a knife that cuts right to my soul [Chorus] Only love, only love can hurt like this Only love can hurt like this Must've been a deadly kiss Only love can hurt like this Only love can hurt like this Your kisses burning to my skin Only love can hurt like this [Bridge] But it's the sweetest pain Burning hot through my veins Love is torture, makes me more sure Only love can hurt like this (Ooh-ooh-ooh, ooh Ooh-ooh-ooh) [Chorus] Only love can hurt like this Only love can hurt like this Must've been a deadly kiss Only love can hurt like this Only love can hurt like this Your kisses burning to my skin Only love can hurt like this (Only love can hurt like this) Only love can hurt like this (Only love can hurt) [Outro] Save me, save me Only love, only love 'Cause only love can hurt like this And it must've been a deadly kiss"
Frank Ocean,Chanel,2017,soul,"My guy pretty like a girl And he got fight stories to tell I see both sides like Chanel See on both sides like Chanel Swimming laps through pool water Heated like I'm underworld Hide my tattoos in Shibuya ('Buya) Police think I'm of the underworld 12 treat a nigga like he twelve How you looking up to me and talking down? (Yeah) Can't you see I am the big man? (Big man) God level, I am the ""I Am"" (Woah) Now film it with that drone cam, in the pink like Killa Cam Put a zoom on that stick, Noé, up so close, I'm on that kill Remote controller on your lower back, yes, the good Dick could roll the eyes back in the skull Rolling when you ride, poppin' Rolling when you ride, ride the Rodman Got one that's straight acting Turnt out like some dirty plastic (Ride) 2016: burnt some discs (Dope) 2017: ideas playing off a Walkman This a cult, not a clique, on the net With a cup in a cup, Actavis That's a double edge, ""Issa knife"" (Knife) And I don't like to fight 'til I'm fighting (Fighting) Revenge in the air makes my lungs sick Chopper in the sky like a gun trick (Yeah) Clips on clips like Mikey (Hello) It's really all [Refrain] I see both sides like Chanel See on both sides like Chanel [Bridge] It's really you on my mind It's really you on my mind It's really you It's really you on my mind [Verse 2] V both sides of the '12 Steam both sides of the L Freeze smoke rings and they hail Sleet snow grind for the wealth Whole team diamonds is real Showed 'em how to shine by theyselves You need a co-sign for your health I need that bitch to grind on my belt I know you need to try for my belt (Yeah) I know you seen it driving itself No matte black on the ride 'cause it's stale (Yeah) But it's stealth [Refrain] I see both sides like Chanel I see both sides like Chanel [Outro] My pockets snug, they can't hold my 7 They banned my Visa, my Amex and Mastercards I got new money, and it's all cash I got new bags, and they all collabs I rubber band a bunch of thousand-dollar Delta gift cards (I mean, my baby bi) Amazing, the cash online unknown (I mean, my baby bi) Blazing the dash, counting money at home My pockets snug, they can't hold my 7 They banned my Visa, my Amex and Mastercards I got new money, and it's all cash I got new bags, and they all collabs I rubber band a bunch of thousand-dollar Delta gift cards (I mean, my baby bi) Amazing, the cash online unknown (I mean, my baby bi) Blazing the dash, counting money at home"
Alicia Keys,Fallin',2001,soul,"I keep on fallin' in And outta love with you Sometimes I love ya, sometimes you make me blue Sometimes I feel good, at times I feel used Lovin' you, darlin', makes me so confused [Chorus] I keep on fallin' in and out Of love with you I never loved someone The way that I'm lovin' you [Verse 2] Oh, oh, I never felt this way How do you give me so much pleasure And cause me so much pain? (Yeah, yeah) Just when I think I've taken more than would a fool I start fallin' back in love with you [Chorus] I keep on fallin' in and out Of love with you I never loved someone (Oh, someone) The way that I'm lovin' you (Way I, uh, uh) [Bridge] Oh, baby I, I, I, I'm fallin' (Yeah, yeah, yeah) I, I, I, I'm fallin' Fall, fall, fall (Sing) Fall [Chorus] I keep on fallin' in and out (Out) Of love with you (Love with you) I never loved someone (I never, loved) The way that I'm lovin' you (Oh) I'm fallin' in and out (Yeah) Of love with you (Of love with you) I never loved someone (No, no, no) The way that I'm lovin' you (Uh) I'm fallin' in and out (Yeah) Of love with you (Of love with you) I never loved someone (No, no, no) The way that I'm lovin' you (Uh) [Outro] What?"
Ben E. King,Stand By Me,1962,soul,"[Instrumental Intro] [Verse 1] When the night has come And the land is dark And the moon is the only light we'll see No, I won't be afraid Oh, I won't be afraid Just as long as you stand, stand by me [Chorus] So darlin', darlin', stand by me Oh, stand by me Oh, stand Stand by me, stand by me [Verse 2] If the sky that we look upon Should tumble and fall Or the mountains should crumble to the sea I won't cry, I won't cry No, I won't shed a tear Just as long as you stand, stand by me [Chorus] And darlin', darlin', stand by me Oh, stand by me Woah, stand now Stand by me, stand by me [Interlude] [Chorus] Darlin', darlin', stand by me Oh, stand by me Oh, stand now Stand by me, stand by me [Outro] Whenever you're in trouble, won't you stand by me? Oh, stand by me Woah, just stand now Oh, stand, stand by me"
Adele,Send My Love (To Your New Lover),2015,soul,"[Intro] Just the guitar, okay, cool [Verse 1] This was all you, none of it me You put your hands on, on my body and told me, mmm You told me you were ready For the big one, for the big jump I'd be your last love, everlasting, you and me, mmm That was what you told me [Pre-Chorus] I'm giving you up I've forgiven it all You set me free [Chorus] Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more [Verse 2] I was too strong, you were trembling You couldn't handle the hot heat rising (Rising), mmm Baby, I'm still rising I was running, you were walking You couldn't keep up, you were falling down (Down), mmm There's only one way down [Pre-Chorus] I'm giving you up I've forgiven it all You set me free, oh [Chorus] Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more [Bridge] If you're ready, if you're ready If you're ready, I am ready If you're ready, if you're ready We both know we ain't kids no more No, we ain't kids no more [Pre-Chorus] I'm giving you up I've forgiven it all You set me free [Chorus] Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more [Outro] If you're ready, if you're ready (Send my love to your new lover) If you're ready, are you ready? (Treat her better) We've gotta let go of all of our ghosts We both know we ain't kids no more If you're ready, if you're ready (Send my love to your new lover) If you're ready, are you ready? (Treat her better) We've gotta let go of all of our ghosts We both know we ain't kids no more"
